step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.0001,13.2221,2000,6.73197,6.81683,3.61551,6.7298,0,0,1713,640,-0.00353508,7.65912e-05,0.0601833,0.0601145,0.00271117,0.0661192,0.00959746,-0.0601145,-0.0651736,0,0.00519557,2.88508,0.0903234,15.3669
1,0.01,0.0001,13.035,2000,6.716,6.46255,3.89797,6.7225,0,0,1861.41,640,-0.000172572,0.00105608,0.0162158,0.0151589,0.0125352,0.0481389,0.000754936,-0.0151589,-0.0163955,0,0.00515673,2.8812,0.0545242,28.6141
2,0.01,0.0001,11.5795,1600,7.60044,7.79251,3.63961,7.59552,2,1,1247.27,640,0.00102992,0.00163895,0.0617902,0.0601512,0.00989481,0.0642054,0.00323463,-0.0474195,-0.0494058,0,0.00506432,2.87716,0.0610442,53.8284
3,0.01,0.0001,9.99733,1000,3.65843,3.78,1.61264,3.65531,0,0,738.909,640,-0.000172133,0.00220245,0.0269494,0.0247515,0.0338241,0.0434809,0.000483775,-0.0141383,-0.0147678,0,0.00430423,2.87572,0.0722558,94.0501
4,0.01,0.0001,8.1078,400,1.33615,1.33485,0.799666,1.33618,0,0,349.567,640,-0.000397444,0.00282428,0.0165835,0.0137628,0.0287996,0.0480626,0.00124899,-0.0281733,-0.0293243,0,0.0048237,2.87074,0.0829921,140.616
5,0.01,0.0001,9.6446,731.2,5.30483,6.30264,2.86722,5.27933,1.2,0.6,631.117,640,0.000153694,0.00354564,0.0299264,0.0263798,0.0309701,0.0415811,0.000710084,-0.0179806,-0.0186401,0,0.00421584,2.86863,0.0869935,184.174
6,0.01,0.0001,9.32691,656.8,5.55508,6.33516,2.58374,5.53517,1.2,0.6,582.449,640,-0.000202673,0.00438407,0.0234771,0.0190934,0.0343159,0.0467256,0.000820037,-0.0193815,-0.0206001,0,0.00472528,2.86242,0.0899408,197.73
7,0.01,0.0001,13.1571,2000,6.32193,6.11712,3.87444,6.32718,0,0,1776.29,640,7.94413e-05,0.00577049,0.0239785,0.0182263,0.00692468,0.0916204,0.000744132,-0.0182263,-0.0195063,0,0.00564514,2.84673,0.116233,211.237
8,0.01,0.0001,6.99693,0,0,0,0,0,0,0,0,640,-0.000205246,0.00645698,0.025907,0.01945,0.0524405,0.0575182,0.00111608,-0.0144356,-0.0158447,0,0.00436479,2.84251,0.0891132,231.546
9,0.01,0.0001,9.90577,1000,3.47248,3.16773,1.87687,3.48029,0,0,737.735,640,-0.000507699,0.00688602,0.0105968,0.00371784,0.0308738,0.0621811,0.000885195,-0.0186549,-0.0196854,0,0.00485215,2.84174,0.116663,294.796
10,0.01,0.0001,8.34485,427.75,3.39772,3.68367,2.03444,3.3904,1,0.5,388.67,640,6.2788e-07,0.00729822,0.0279186,0.0206204,0.0428437,0.0495665,0.00132127,-0.0281075,-0.0290755,0,0.00448261,2.8428,0.142019,344.592
11,0.01,0.0001,9.63646,830.6,4.0806,4.26931,1.99993,4.07577,0.8,0.4,677.179,640,0.000101272,0.00807474,0.0304855,0.0224034,0.0315508,0.0740756,0.00298187,-0.0406428,-0.0431485,0,0.00469064,2.84147,0.141134,376.193
12,0.01,0.0001,11.3178,1278.67,5.04019,5.17245,2.50316,5.0368,0.666667,0.333333,1037.13,640,0.000595343,0.00888005,0.0559115,0.0470178,0.0431243,0.0853816,0.00207311,-0.0381323,-0.0392743,0,0.00421943,2.84462,0.12744,411.761
13,0.01,0.0001,10.5734,972,4.62816,4.84941,2.61065,4.6225,0.666667,0.333333,858.958,640,-3.49756e-05,0.00991288,0.0317762,0.0218549,0.0455573,0.0824986,0.00144846,-0.0282023,-0.0297896,0,0.00415363,2.85252,0.131988,436.44
14,0.01,0.0001,9.99935,1000,3.43544,3.58743,2.05536,3.43155,0,0,933.435,640,0.000121921,0.0107907,0.0366358,0.0258527,0.0417777,0.0828811,0.0012642,-0.0215167,-0.0223791,0,0.00335555,2.85797,0.133904,498.513
15,0.01,0.0001,8.34457,430,2.63945,2.79593,1.71962,2.63544,0.75,0.375,393.386,640,-0.000150972,0.0113991,0.0287518,0.0173526,0.0580118,0.083542,0.00300694,-0.0452292,-0.0469476,0,0.00422855,2.85622,0.136295,534.405
16,0.01,0.0001,11.7077,1377.67,7.277,7.53942,4.0556,7.27027,1.33333,0.666667,1199.66,640,0.000435945,0.0124403,0.0488369,0.0363781,0.0450926,0.109803,0.00246565,-0.0354792,-0.0372181,0,0.00424872,2.85727,0.165329,561.097
17,0.01,0.0001,10.3609,1000,3.85195,3.8387,2.20438,3.85229,0,0,917.343,640,0.000268786,0.0135139,0.0449673,0.0314399,0.0387166,0.100609,0.00302734,-0.0325381,-0.0342349,0,0.00455347,2.84746,0.155766,611.368
18,0.01,0.0001,8.15271,390.833,2.41921,3.02528,1.21077,2.40371,0.333333,0.166667,334.798,640,-0.000243835,0.0142372,0.031336,0.0170991,0.051095,0.0859842,0.00465465,-0.0500675,-0.052103,0,0.00409814,2.84088,0.172649,642.588
19,0.01,0.0001,10.219,1066.67,5.13941,5.31008,2.2409,5.13503,0.666667,0.333333,819.256,640,0.000450922,0.0151893,0.0549705,0.0397714,0.0313385,0.137485,0.00322744,-0.037667,-0.0393034,0,0.00436308,2.83316,0.15398,689.266
20,0.01,0.0001,9.79359,802.6,4.61364,4.78566,1.86946,4.60923,0.8,0.4,627.596,640,0.000228166,0.016152,0.0423955,0.0262396,0.0332056,0.09506,0.000357232,-0.0056759,-0.00621693,0,0.00452368,2.81913,0.169583,742.822
21,0.01,0.0001,9.13997,525.5,4.84814,4.85012,1.98796,4.84798,1.33333,0.666667,467.565,640,8.18558e-06,0.0172016,0.0282365,0.0110349,0.046098,0.108364,0.00141708,-0.0310793,-0.0323739,0,0.00357262,2.81213,0.179587,771.053
22,0.01,0.0001,11.071,1000,3.68428,3.78452,1.65087,3.68171,0,0,776.934,640,-7.00947e-05,0.0185677,0.0376303,0.0190593,0.0285928,0.135866,0.000991664,-0.0158351,-0.0170783,0,0.00437338,2.80679,0.166905,816.395
